Datetime,X,Y,Device
2021-09-05 07:00:01,588.8,200.960009765625,1
2021-09-05 07:00:01,564.8,207.360009765625,2
2021-09-05 07:00:11,579.2,205.45,1
2021-09-05 07:00:11,561.6,199.05,2
2021-09-05 07:00:21,588.8,200.65,1
2021-09-05 07:00:21,560.0,200.65,2
2021-09-05 07:00:31,579.2,207.05,1
2021-09-05 07:00:31,563.2,192.65,2
2021-09-05 07:00:41,585.6,210.25,1
2021-09-05 07:00:41,566.4,197.45,2
2021-09-05 07:00:51,587.2,207.05,1
2021-09-05 07:00:51,574.4,194.25,2
2021-09-05 07:01:01,595.2,210.25,1
2021-09-05 07:01:01,585.6,197.45,2
2021-09-05 07:01:11,593.6,211.85,1
2021-09-05 07:01:11,579.2,200.65,2
2021-09-05 07:01:21,603.2,213.45,1
2021-09-05 07:01:21,585.6,189.45,2
2021-09-05 07:01:31,598.4,215.05,1
2021-09-05 07:01:31,587.2,195.85,2
2021-09-05 07:01:41,592.0,192.65,2
2021-09-05 07:01:51,593.6,216.65,1
2021-09-05 07:01:51,582.4,200.65,2
2021-09-05 07:02:01,593.6,231.05,1
2021-09-05 07:02:01,587.2,203.85,2
2021-09-05 07:02:11,592.0,223.05,1
2021-09-05 07:02:11,582.4,194.25,2
2021-09-05 07:02:21,588.8,224.65,1
2021-09-05 07:02:21,572.8,205.45,2
2021-09-05 07:02:31,592.0,226.25,1
2021-09-05 07:02:31,568.0,213.45,2
2021-09-05 07:02:41,595.2,234.25,1
2021-09-05 07:02:41,574.4,207.05,2
2021-09-05 07:02:51,590.4,227.85,1
2021-09-05 07:02:51,579.2,200.65,2
2021-09-05 07:03:01,585.6,226.25,1
2021-09-05 07:03:01,585.6,200.65,2
2021-09-05 07:03:11,596.8,226.25,1
2021-09-05 07:03:11,579.2,202.25,2
2021-09-05 07:03:21,584.0,231.05,1
2021-09-05 07:03:21,579.2,208.65,2
2021-09-05 07:03:31,592.0,234.25,1
2021-09-05 07:03:31,587.2,194.25,2
2021-09-05 07:03:41,588.8,227.85,1
2021-09-05 07:03:41,574.4,211.85,2
2021-09-05 07:03:51,587.2,231.05,1
2021-09-05 07:03:51,564.8,213.45,2
2021-09-05 07:04:01,585.6,232.65,1
2021-09-05 07:04:11,561.6,208.65,2
2021-09-05 07:04:21,585.6,239.05,1
2021-09-05 07:04:21,574.4,210.25,2
2021-09-05 07:04:31,593.6,237.45,1
2021-09-05 07:04:31,568.0,215.05,2
2021-09-05 07:04:41,588.8,239.05,1
2021-09-05 07:04:41,577.6,210.25,2
2021-09-05 07:04:52,590.4,240.65,1
2021-09-05 07:04:52,577.6,210.25,2
2021-09-05 07:05:01,598.4,245.45,1
2021-09-05 07:05:01,582.4,207.05,2
2021-09-05 07:05:11,593.6,239.05,1
2021-09-05 07:05:11,568.0,215.05,2
2021-09-05 07:05:21,590.4,235.85,1
2021-09-05 07:05:21,569.6,215.05,2
2021-09-05 07:05:31,600.0,237.45,1
2021-09-05 07:05:31,582.4,208.65,2
